archive,path,status,baseline_archive,bytes,member_date
Universe_mod.pak,PresetsPrices.(DuelPresetsPrices).xdb,changed,data.pak,192,2107-12-31-23-59-56
Universe_mod.pak,types.xml,changed,a2p1-data.pak,2564384,2107-12-31-23-59-56
Universe_mod.pak,bin/animations/1CAB759D-FCB3-45D4-B304-DA03531FA421,added,,145371,2107-12-31-23-59-56
Universe_mod.pak,bin/animations/215026B8-30AA-4CF5-BFDC-A8A69671EDEB,added,,47737,2107-12-31-23-59-56
Universe_mod.pak,bin/animations/8D61C75A-453A-4CC6-819D-96A4410239CD,added,,169290,2107-12-31-23-59-56
Universe_mod.pak,bin/animations/B246CBFA-7CB3-42D3-866D-869213C5C0D4,added,,33849,2107-12-31-23-59-56
Universe_mod.pak,bin/animations/B45DB77E-C9A1-4F5C-9642-137F4D4298CA,added,,155417,2107-12-31-23-59-56
Universe_mod.pak,bin/animations/C6A3E7A6-4562-432A-9BEF-28B2C0D4AC27,added,,166917,2107-12-31-23-59-56
Universe_mod.pak,bin/Geometries/03F825A1-497D-4226-8BF2-433A06AF382A,added,,276572,2107-12-31-23-59-56
Universe_mod.pak,bin/Geometries/0616CF18-B794-41EE-9359-AB8D0F6C6533,added,,47438,2107-12-31-23-59-56
Universe_mod.pak,bin/Geometries/06E256D9-7D0E-4B90-A24F-C6C5F28B7AE8,added,,40440,2107-12-31-23-59-56
Universe_mod.pak,bin/Geometries/10D01067-CDDC-43FE-893A-EC88557D4728,added,,157252,2107-12-31-23-59-56
Universe_mod.pak,bin/Geometries/23425100-5BC0-4CA2-8A40-07F7F698B1DB,added,,65100,2107-12-31-23-59-56
Universe_mod.pak,bin/Geometries/2E5FE733-03AB-49BE-8883-5EEA182280D1,added,,226426,2107-12-31-23-59-56
Universe_mod.pak,bin/Geometries/2FB3052A-086E-4E6A-B919-2DD07E94ED70,added,,174724,2107-12-31-23-59-56
Universe_mod.pak,bin/Geometries/3C59B2B4-84D4-422C-A8F5-0A128A4B2DC0,added,,205212,2107-12-31-23-59-56
Universe_mod.pak,bin/Geometries/3E67B5BB-5548-4D44-95F3-D9892026C44C,added,,42134,2107-12-31-23-59-56
Universe_mod.pak,bin/Geometries/415BB5E6-86F8-43D2-92A1-94024DE0A99C,added,,65100,2107-12-31-23-59-56
Universe_mod.pak,bin/Geometries/4F9426A9-226B-421A-BAFB-C94491D78B20,added,,363040,2107-12-31-23-59-56
Universe_mod.pak,bin/Geometries/52C845B0-4434-45CA-BC73-5B6F8A9A52B7,added,,410532,2107-12-31-23-59-56
Universe_mod.pak,bin/Geometries/5EC88BDC-C7FC-4112-97D9-2FEB670DA45F,added,,112534,2107-12-31-23-59-56
Universe_mod.pak,bin/Geometries/62460684-6EF6-4C51-8FD4-3BA295FAAE1C,added,,410532,2107-12-31-23-59-56
Universe_mod.pak,bin/Geometries/6E2EC938-EA8F-45EB-8659-5E122DF6E657,added,,135304,2107-12-31-23-59-56
Universe_mod.pak,bin/Geometries/7F19AA7A-7351-44A8-A46C-887AF67E096E,added,,91914,2107-12-31-23-59-56
Universe_mod.pak,bin/Geometries/812FD67E-A0EE-4316-B0F9-F4AE08A2D425,added,,66670,2107-12-31-23-59-56
Universe_mod.pak,bin/Geometries/81FC37D1-26C4-48D5-9548-39336DEDC042,added,,21830,2107-12-31-23-59-56
Universe_mod.pak,bin/Geometries/832E71FC-13E7-4E71-8BD6-8B2E13FC15E5,added,,445440,2107-12-31-23-59-56
Universe_mod.pak,bin/Geometries/8E68751C-D8C1-4120-A9C5-B1DFBBA15DF0,added,,79418,2107-12-31-23-59-56
Universe_mod.pak,bin/Geometries/96BB4C85-548F-40F3-A263-4F802FB75557,added,,91914,2107-12-31-23-59-56
Universe_mod.pak,bin/Geometries/AD1731C5-4084-41C2-93AF-D01E79576035,added,,362968,2107-12-31-23-59-56
Universe_mod.pak,bin/Geometries/AFCD2C01-D039-4E21-ACE4-6AA3DB31E0DC,added,,58446,2107-12-31-23-59-56
Universe_mod.pak,bin/Geometries/B73500FF-1E68-4A94-B46B-84A4F4F019B0,added,,4828,2107-12-31-23-59-56
Universe_mod.pak,bin/Geometries/C32EFF5B-9B82-4DAF-84C3-969092FE883B,added,,136504,2107-12-31-23-59-56
Universe_mod.pak,bin/Geometries/C3CD72AC-BF2A-4428-86C2-AA1A5D268B72,added,,103954,2107-12-31-23-59-56
Universe_mod.pak,bin/Geometries/CAB44719-E4E2-44F0-9B22-6FDED9587BC2,added,,253008,2107-12-31-23-59-56
Universe_mod.pak,bin/Geometries/CC4804F9-A0DA-4084-83DB-0B845031ADDC,added,,1270295,2107-12-31-23-59-56
Universe_mod.pak,bin/Geometries/D085236A-73B0-418D-BD3D-9064D58E83C3,added,,356224,2107-12-31-23-59-56
Universe_mod.pak,bin/Geometries/D9CA732E-526C-401A-A57B-FD1FD1FA0C4F,added,,404930,2107-12-31-23-59-56
Universe_mod.pak,bin/Geometries/DA42A1A8-CC17-4EE7-B5BD-63A200ABA599,added,,141360,2107-12-31-23-59-56
Universe_mod.pak,bin/Geometries/DB2949AD-50A8-4826-BBE2-AC6FBB4DEF24,added,,251224,2107-12-31-23-59-56
Universe_mod.pak,bin/Geometries/DD4F0870-E442-4DC5-84D2-B87E4A8ABE4A,added,,38998,2107-12-31-23-59-56
Universe_mod.pak,bin/Geometries/DFEF5284-050B-4060-9433-4E209991BB7E,added,,40034,2107-12-31-23-59-56
Universe_mod.pak,bin/Geometries/E1A837A5-3BA7-4955-B550-685DC1708F12,added,,163662,2107-12-31-23-59-56
Universe_mod.pak,bin/Geometries/E2A54CA2-FDFD-4EBC-9801-EEDCF9103F0D,added,,236600,2107-12-31-23-59-56
Universe_mod.pak,bin/Geometries/EAD6AA05-716F-4DB0-AECC-BEDB0EE971D5,added,,51244,2107-12-31-23-59-56
Universe_mod.pak,bin/Geometries/EC384C7F-E159-4CB2-B6C1-0AEADADD98A6,added,,1084,2107-12-31-23-59-56
Universe_mod.pak,bin/Geometries/F13AE11F-A9AE-463E-AB5A-2CC6EFC838D6,added,,165580,2107-12-31-23-59-56
Universe_mod.pak,bin/Geometries/F7210412-31D8-4465-9AD3-92D1256965E3,added,,47378,2107-12-31-23-59-56
Universe_mod.pak,bin/Geometries/FA413BD2-55B8-45C9-85CC-04E5CC68340D,added,,276572,2107-12-31-23-59-56
Universe_mod.pak,bin/GrannyGeometries/03F825A1-497D-4226-8BF2-433A06AF382A,added,,216129,2107-12-31-23-59-56
Universe_mod.pak,bin/GrannyGeometries/0616CF18-B794-41EE-9359-AB8D0F6C6533,added,,37226,2107-12-31-23-59-56
Universe_mod.pak,bin/GrannyGeometries/06E256D9-7D0E-4B90-A24F-C6C5F28B7AE8,added,,34121,2107-12-31-23-59-56
Universe_mod.pak,bin/GrannyGeometries/10D01067-CDDC-43FE-893A-EC88557D4728,added,,120098,2107-12-31-23-59-56
Universe_mod.pak,bin/GrannyGeometries/23425100-5BC0-4CA2-8A40-07F7F698B1DB,added,,48214,2107-12-31-23-59-56
Universe_mod.pak,bin/GrannyGeometries/2419050A-98AF-492A-B551-3E27C27DD3BB,added,,5637,2107-12-31-23-59-56
Universe_mod.pak,bin/GrannyGeometries/2E35A2F5-6D15-42F7-92B8-70089A9CB7FC,added,,1084,2107-12-31-23-59-56
Universe_mod.pak,bin/GrannyGeometries/2E5FE733-03AB-49BE-8883-5EEA182280D1,added,,168980,2107-12-31-23-59-56
Universe_mod.pak,bin/GrannyGeometries/2FB3052A-086E-4E6A-B919-2DD07E94ED70,added,,115670,2107-12-31-23-59-56
Universe_mod.pak,bin/GrannyGeometries/3C59B2B4-84D4-422C-A8F5-0A128A4B2DC0,added,,128342,2107-12-31-23-59-56
Universe_mod.pak,bin/GrannyGeometries/3E67B5BB-5548-4D44-95F3-D9892026C44C,added,,31827,2107-12-31-23-59-56
Universe_mod.pak,bin/GrannyGeometries/415BB5E6-86F8-43D2-92A1-94024DE0A99C,added,,48500,2107-12-31-23-59-56
Universe_mod.pak,bin/GrannyGeometries/4F9426A9-226B-421A-BAFB-C94491D78B20,added,,164249,2107-12-31-23-59-56
Universe_mod.pak,bin/GrannyGeometries/52C845B0-4434-45CA-BC73-5B6F8A9A52B7,added,,316777,2107-12-31-23-59-56
Universe_mod.pak,bin/GrannyGeometries/5EC88BDC-C7FC-4112-97D9-2FEB670DA45F,added,,78470,2107-12-31-23-59-56
Universe_mod.pak,bin/GrannyGeometries/62460684-6EF6-4C51-8FD4-3BA295FAAE1C,added,,316893,2107-12-31-23-59-56
Universe_mod.pak,bin/GrannyGeometries/6E2EC938-EA8F-45EB-8659-5E122DF6E657,added,,102625,2107-12-31-23-59-56
Universe_mod.pak,bin/GrannyGeometries/7F19AA7A-7351-44A8-A46C-887AF67E096E,added,,58232,2107-12-31-23-59-56
Universe_mod.pak,bin/GrannyGeometries/812FD67E-A0EE-4316-B0F9-F4AE08A2D425,added,,50709,2107-12-31-23-59-56
Universe_mod.pak,bin/GrannyGeometries/81FC37D1-26C4-48D5-9548-39336DEDC042,added,,17829,2107-12-31-23-59-56
Universe_mod.pak,bin/GrannyGeometries/832E71FC-13E7-4E71-8BD6-8B2E13FC15E5,added,,465837,2107-12-31-23-59-56
Universe_mod.pak,bin/GrannyGeometries/8E68751C-D8C1-4120-A9C5-B1DFBBA15DF0,added,,60890,2107-12-31-23-59-56
Universe_mod.pak,bin/GrannyGeometries/96BB4C85-548F-40F3-A263-4F802FB75557,added,,58282,2107-12-31-23-59-56
Universe_mod.pak,bin/GrannyGeometries/AD1731C5-4084-41C2-93AF-D01E79576035,added,,165082,2107-12-31-23-59-56
Universe_mod.pak,bin/GrannyGeometries/AFCD2C01-D039-4E21-ACE4-6AA3DB31E0DC,added,,44307,2107-12-31-23-59-56
Universe_mod.pak,bin/GrannyGeometries/B73500FF-1E68-4A94-B46B-84A4F4F019B0,added,,8838,2107-12-31-23-59-56
Universe_mod.pak,bin/GrannyGeometries/C32EFF5B-9B82-4DAF-84C3-969092FE883B,added,,103678,2107-12-31-23-59-56
Universe_mod.pak,bin/GrannyGeometries/C3CD72AC-BF2A-4428-86C2-AA1A5D268B72,added,,78225,2107-12-31-23-59-56
Universe_mod.pak,bin/GrannyGeometries/CAB44719-E4E2-44F0-9B22-6FDED9587BC2,added,,134892,2107-12-31-23-59-56
Universe_mod.pak,bin/GrannyGeometries/CC4804F9-A0DA-4084-83DB-0B845031ADDC,added,,891831,2107-12-31-23-59-56
Universe_mod.pak,bin/GrannyGeometries/D085236A-73B0-418D-BD3D-9064D58E83C3,added,,273620,2107-12-31-23-59-56
Universe_mod.pak,bin/GrannyGeometries/D9CA732E-526C-401A-A57B-FD1FD1FA0C4F,added,,356205,2107-12-31-23-59-56
Universe_mod.pak,bin/GrannyGeometries/DA42A1A8-CC17-4EE7-B5BD-63A200ABA599,added,,91886,2107-12-31-23-59-56
Universe_mod.pak,bin/GrannyGeometries/DB2949AD-50A8-4826-BBE2-AC6FBB4DEF24,added,,178120,2107-12-31-23-59-56
Universe_mod.pak,bin/GrannyGeometries/DD4F0870-E442-4DC5-84D2-B87E4A8ABE4A,added,,33012,2107-12-31-23-59-56
Universe_mod.pak,bin/GrannyGeometries/DFEF5284-050B-4060-9433-4E209991BB7E,added,,31785,2107-12-31-23-59-56
Universe_mod.pak,bin/GrannyGeometries/E1A837A5-3BA7-4955-B550-685DC1708F12,added,,120773,2107-12-31-23-59-56
Universe_mod.pak,bin/GrannyGeometries/E2A54CA2-FDFD-4EBC-9801-EEDCF9103F0D,added,,151171,2107-12-31-23-59-56
Universe_mod.pak,bin/GrannyGeometries/EAD6AA05-716F-4DB0-AECC-BEDB0EE971D5,added,,24870,2107-12-31-23-59-56
Universe_mod.pak,bin/GrannyGeometries/EC384C7F-E159-4CB2-B6C1-0AEADADD98A6,added,,5601,2107-12-31-23-59-56
Universe_mod.pak,bin/GrannyGeometries/F13AE11F-A9AE-463E-AB5A-2CC6EFC838D6,added,,129559,2107-12-31-23-59-56
Universe_mod.pak,bin/GrannyGeometries/F50C9973-76AA-467E-BEEF-20C2B419B981,added,,1084,2107-12-31-23-59-56
Universe_mod.pak,bin/GrannyGeometries/F7210412-31D8-4465-9AD3-92D1256965E3,added,,38939,2107-12-31-23-59-56
Universe_mod.pak,bin/GrannyGeometries/FA413BD2-55B8-45C9-85CC-04E5CC68340D,added,,216046,2107-12-31-23-59-56
Universe_mod.pak,bin/Skeletons/0EAD21CA-02BA-4E24-BC79-7DD4C55EEC8C,added,,4848,2107-12-31-23-59-56
Universe_mod.pak,bin/Skeletons/13492FBA-CE50-4510-88E0-E4C42B219A8C,added,,4988,2107-12-31-23-59-56
Universe_mod.pak,bin/Skeletons/30F8D86E-CB2F-4D5B-9DF1-3494DB0691DE,added,,4876,2107-12-31-23-59-56
